ELCODE_BCD,sp_code_calc
ABNNM03100,larudela
ABNNM03110,larucali
ABNNM03120,laruarge
ABNNM03130,laruthay
ABNNM03150,larufusc
ABNNM03200,laruhype
ABNNM03210,larumari
ABNNM03270,laruglau
ABNNM04010,risstrid
ABNNM06010,xemasabi
ABNNM07010,pagoebur
ABNNM08020,hydrcasp
ABNNM08180,thalmaxi
ABNNM08050,thalsand
ABNNM08060,sterdoug
ABNNM08061,sterdougdoug
ABNNM08070,sterhiru
ABNNM08080,sterpara2
ABNNM08090,sterfors
ABNNM08100,steranti
ABNNM08140,onycanae
ABNNM08150,onycfusc
ABNNM10010,chlileuc
ABNNM10020,chlinige
ABNNM14010,ryncnige
ABNNN01010,allealle
ABNNN02010,uriaaalg
ABNNN02020,urialomv
ABNNN03010,alcatord
ABNNN05010,ceppgryl
ABNNN12020,fratarct
ABNPB01010,colulivi
ABNPB04010,zenaasia
ABNPB04040,zenamacr
ABNPB05010,ectomigr
ABNPB06020,colupass
ABNQA02010,psitkram
ABNQA04010,myiomona
ABNQA05010,conucaro
ABNRB02010,cocceryt
ABNRB02020,coccamer
ABNRB11030,crotsulc
ABNSA01010,tytoalba
ABNSB01030,otusasio
ABNSB05010,bubovirg
ABNSB06010,nyctscan
ABNSB10010,athecuni
ABNSB12050,strivari
ABNSB13010,asiootus
ABNSB13040,asioflam
ABNSB15010,aegofune
ABNSB15020,aegoacad
ABNTA02020,chormino
ABNTA07010,caprcaro
ABNTA07070,caprvoci
ABNUA03010,chaepela
ABNUC45010,archcolu
ABNUC51020,selarufu
ABNXD01020,ceryalcy
ABNYF04040,melaeryt
ABNYF04170,melacaro
ABNYF05010,sphyvari
ABNYF07030,picopube
ABNYF07040,picovill
ABNYF10020,colaaura
ABNYF12020,dryopile
ABPAE32010,contcoop
ABPAE32060,contvire
ABPAE33010,empiflav
ABPAE33020,empivire
ABPAE33030,empialno
ABPAE33040,empitrai
ABPAE33070,empimini
ABPAE35020,sayophoe
ABPAE35030,sayosaya
ABPAE36010,pyrorubi
ABPAE43050,myiacine
ABPAE43070,myiacrin
ABPAE52030,tyravoci
ABPAE52050,tyravert
ABPAE52060,tyratyra
ABPAE52070,tyradomi
ABPAE52100,tyraforf
ABPAT02010,eremalpe
ABPAU01010,progsubi
ABPAU03010,tachbico
ABPAU07010,stelserr
ABPAU08010,riparipa
ABPAU09010,petrpyrr
ABPAU09030,hirurust
ABPAV02020,cyancris
ABPAV09010,picahuds
ABPAV10170,corvbrac
ABPAV10080,corvossi
ABPAV10110,corvcora
ABPAW01010,poecatri
ABPAW01020,poeccaro
ABPAW01060,poechuds
ABPAW01110,baeobico
ABPAZ01010,sittcana
ABPAZ01020,sittcaro
ABPAZ01040,sittpusi
ABPBA01010,certamer
ABPBG03010,salpobso
ABPBG06130,thryludo
ABPBG07010,thrybewi
ABPBG07011,thrybewialtu
ABPBG09010,trogaedo
ABPBG09100,troghiem
ABPBG10030,ciststel
ABPBG10020,cistpalu
ABPBJ05010,regusatr
ABPBJ05020,cortcale
ABPBJ08010,policaer
ABPBJ14010,oenaoena
ABPBJ15010,sialsial
ABPBJ18080,cathfusc
ABPBJ18090,cathmini
ABPBJ18100,cathustu
ABPBJ18110,cathgutt
ABPBJ18120,cathbick
ABPBJ19010,hylomust
ABPBJ20170,turdmigr
ABPBJ22010,ixornaev
